document_id,image_path,word_count_gt,word_count_ocr,precision,recall,f1_score,character_accuracy,word_error_rate,sequence_accuracy,lcs_ratio,bigram_overlap,trigram_overlap,true_positives,false_positives,false_negatives
342db705-8c91-4835-86cf-c0327699eff5,raw/342db705-8c91-4835-86cf-c0327699eff5--file%3A%2F%2F%2Fprivate%2Fvar%2Ffolders%2Fgb%2Fd2rz0yr907x6sl234fhp7mbm0000gn%2FT%2Ftmpsb6sakor%2Fdataset%2Ftesting_data%2Fimages%2F82250337_0338.png,171,807,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.9375,4.081871345029239,0.1286549707602339,0.6783625730994152,0.6823529411764706,0.5976331360946746,104,78,13
a47b225b-892d-4a33-ae94-1cd7346eb39d,raw/a47b225b-892d-4a33-ae94-1cd7346eb39d--file%3A%2F%2F%2Fprivate%2Fvar%2Ffolders%2Fgb%2Fd2rz0yr907x6sl234fhp7mbm0000gn%2FT%2Ftmpsb6sakor%2Fdataset%2Ftesting_data%2Fimages%2F82252956_2958.png.biblicus.yml,83,269,0.6129032258064516,0.7169811320754716,0.6608695652173913,0.8888888888888888,2.674698795180723,0.024096385542168676,0.6144578313253012,0.4024390243902439,0.345679012345679,38,24,15
bb929d4e-d336-4f60-86ad-ab10a31992f4,raw/bb929d4e-d336-4f60-86ad-ab10a31992f4--file%3A%2F%2F%2Fprivate%2Fvar%2Ffolders%2Fgb%2Fd2rz0yr907x6sl234fhp7mbm0000gn%2FT%2Ftmpsb6sakor%2Fdataset%2Ftesting_data%2Fimages%2F82200067_0069.png,98,383,0.3389830508474576,0.5970149253731343,0.4324324324324324,0.9791666666666666,3.377551020408163,0.030612244897959183,0.5510204081632653,0.3402061855670103,0.21875,40,78,27
8abf490c-5b7a-4ae9-a4c2-836f8809f8f1,raw/8abf490c-5b7a-4ae9-a4c2-836f8809f8f1--file%3A%2F%2F%2Fprivate%2Fvar%2Ffolders%2Fgb%2Fd2rz0yr907x6sl234fhp7mbm0000gn%2FT%2Ftmpsb6sakor%2Fdataset%2Ftesting_data%2Fimages%2F82251504.png.biblicus.yml,156,210,0.6330275229357798,0.6106194690265486,0.6216216216216216,0.9565217391304348,1.0,0.01282051282051282,0.48717948717948717,0.3870967741935484,0.3051948051948052,69,40,44
4d4e57e0-d644-4be2-a61d-628a6dda26f8,raw/4d4e57e0-d644-4be2-a61d-628a6dda26f8--file%3A%2F%2F%2Fprivate%2Fvar%2Ffolders%2Fgb%2Fd2rz0yr907x6sl234fhp7mbm0000gn%2FT%2Ftmpsb6sakor%2Fdataset%2Ftesting_data%2Fimages%2F82092117.png.biblicus.yml,171,809,0.45701357466063347,0.8487394957983193,0.5941176470588235,0.9772727272727273,4.146198830409356,0.017543859649122806,0.631578947368421,0.6411764705882353,0.5621301775147929,101,120,18
